date,province,max,min,rain,humidi,averageTemp
2009-02-08,Ho Chi Minh City,35.0,23.0,0.0,57.0,29.0
2009-02-09,Ho Chi Minh City,35.0,22.0,0.0,61.0,28.5
2009-02-10,Ho Chi Minh City,32.0,25.0,6.0,72.0,28.5
2009-02-11,Ho Chi Minh City,27.0,24.0,7.9,86.0,25.5
2009-02-12,Ho Chi Minh City,30.0,23.0,7.4,78.0,26.5
2009-02-13,Ho Chi Minh City,35.0,23.0,0.8,71.0,29.0
2009-02-14,Ho Chi Minh City,35.0,24.0,2.3,69.0,29.5
2009-02-15,Ho Chi Minh City,28.0,25.0,4.7,85.0,26.5
2009-02-16,Ho Chi Minh City,36.0,24.0,1.7,72.0,30.0
2009-02-17,Ho Chi Minh City,35.0,25.0,1.4,65.0,30.0
2009-02-18,Ho Chi Minh City,35.0,26.0,0.2,64.0,30.5
2009-02-19,Ho Chi Minh City,35.0,26.0,0.0,60.0,30.5
2009-02-20,Ho Chi Minh City,36.0,26.0,0.2,61.0,31.0
2009-02-21,Ho Chi Minh City,37.0,26.0,0.0,58.0,31.5
2009-02-22,Ho Chi Minh City,37.0,26.0,0.0,56.0,31.5
2009-02-23,Ho Chi Minh City,34.0,26.0,0.0,57.0,30.0
2009-02-24,Ho Chi Minh City,37.0,26.0,1.1,57.0,31.5
2009-02-25,Ho Chi Minh City,37.0,26.0,0.4,59.0,31.5
2009-02-26,Ho Chi Minh City,35.0,28.0,0.0,55.0,31.5
2009-02-27,Ho Chi Minh City,33.0,26.0,3.9,65.0,29.5
2009-02-28,Ho Chi Minh City,28.0,24.0,14.6,82.0,26.0
2009-03-01,Ho Chi Minh City,33.0,23.0,3.5,69.0,28.0
2009-03-02,Ho Chi Minh City,35.0,25.0,0.0,60.0,30.0
2009-03-03,Ho Chi Minh City,33.0,25.0,0.0,63.0,29.0
2009-03-04,Ho Chi Minh City,35.0,26.0,1.2,64.0,30.5
2009-03-05,Ho Chi Minh City,32.0,26.0,19.5,78.0,29.0
2009-03-06,Ho Chi Minh City,32.0,26.0,17.1,80.0,29.0
2009-03-07,Ho Chi Minh City,31.0,26.0,18.4,83.0,28.5
2009-03-08,Ho Chi Minh City,32.0,24.0,11.6,80.0,28.0
2009-03-09,Ho Chi Minh City,33.0,25.0,5.6,75.0,29.0
2009-03-10,Ho Chi Minh City,37.0,26.0,0.5,62.0,31.5
2009-03-11,Ho Chi Minh City,37.0,26.0,0.2,59.0,31.5
2009-03-12,Ho Chi Minh City,36.0,27.0,0.3,60.0,31.5
2009-03-13,Ho Chi Minh City,35.0,27.0,0.0,56.0,31.0
2009-03-14,Ho Chi Minh City,33.0,27.0,0.3,60.0,30.0
2009-03-15,Ho Chi Minh City,36.0,25.0,0.2,57.0,30.5
2009-03-16,Ho Chi Minh City,34.0,26.0,0.2,57.0,30.0
2009-03-17,Ho Chi Minh City,33.0,27.0,2.3,61.0,30.0
2009-03-18,Ho Chi Minh City,35.0,27.0,2.6,64.0,31.0
2009-03-19,Ho Chi Minh City,34.0,26.0,0.0,63.0,30.0
2009-03-20,Ho Chi Minh City,36.0,26.0,0.1,61.0,31.0
2009-03-21,Ho Chi Minh City,36.0,25.0,0.0,61.0,30.5
2009-03-22,Ho Chi Minh City,34.0,26.0,4.3,65.0,30.0
2009-03-23,Ho Chi Minh City,34.0,26.0,0.0,61.0,30.0
2009-03-24,Ho Chi Minh City,35.0,27.0,0.1,59.0,31.0
2009-03-25,Ho Chi Minh City,38.0,27.0,1.2,59.0,32.5
2009-03-26,Ho Chi Minh City,35.0,27.0,0.1,57.0,31.0
2009-03-27,Ho Chi Minh City,37.0,27.0,0.0,58.0,32.0
2009-03-28,Ho Chi Minh City,35.0,26.0,2.2,63.0,30.5
2009-03-29,Ho Chi Minh City,39.0,26.0,1.8,56.0,32.5
2009-03-30,Ho Chi Minh City,37.0,27.0,0.7,56.0,32.0
2009-03-31,Ho Chi Minh City,37.0,27.0,3.8,62.0,32.0
2009-04-01,Ho Chi Minh City,34.0,26.0,5.5,65.0,30.0
2009-04-02,Ho Chi Minh City,34.0,26.0,11.5,67.0,30.0
2009-04-03,Ho Chi Minh City,34.0,26.0,16.5,72.0,30.0
2009-04-04,Ho Chi Minh City,37.0,26.0,5.1,69.0,31.5
2009-04-05,Ho Chi Minh City,34.0,27.0,17.5,75.0,30.5
2009-04-06,Ho Chi Minh City,33.0,25.0,35.4,82.0,29.0
2009-04-07,Ho Chi Minh City,32.0,25.0,9.3,75.0,28.5
2009-04-08,Ho Chi Minh City,35.0,25.0,0.1,65.0,30.0
2009-04-09,Ho Chi Minh City,33.0,26.0,4.9,67.0,29.5
2009-04-10,Ho Chi Minh City,35.0,26.0,5.3,67.0,30.5
2009-04-11,Ho Chi Minh City,35.0,27.0,3.8,66.0,31.0
2009-04-12,Ho Chi Minh City,36.0,27.0,21.7,73.0,31.5
2009-04-13,Ho Chi Minh City,31.0,26.0,13.0,83.0,28.5
2009-04-14,Ho Chi Minh City,33.0,26.0,15.7,81.0,29.5
2009-04-15,Ho Chi Minh City,33.0,26.0,15.4,82.0,29.5
2009-04-16,Ho Chi Minh City,33.0,26.0,9.2,80.0,29.5
2009-04-17,Ho Chi Minh City,34.0,26.0,3.6,75.0,30.0
2009-04-18,Ho Chi Minh City,35.0,27.0,15.4,76.0,31.0
2009-04-19,Ho Chi Minh City,33.0,26.0,24.0,83.0,29.5
2009-04-20,Ho Chi Minh City,33.0,26.0,10.2,79.0,29.5
2009-04-21,Ho Chi Minh City,33.0,26.0,15.8,83.0,29.5
2009-04-22,Ho Chi Minh City,33.0,26.0,19.8,83.0,29.5
2009-04-23,Ho Chi Minh City,32.0,26.0,13.7,83.0,29.0
2009-04-24,Ho Chi Minh City,30.0,26.0,38.3,88.0,28.0
2009-04-25,Ho Chi Minh City,31.0,26.0,20.2,86.0,28.5
2009-04-26,Ho Chi Minh City,30.0,25.0,44.9,90.0,27.5
2009-04-27,Ho Chi Minh City,31.0,25.0,22.5,86.0,28.0
2009-04-28,Ho Chi Minh City,32.0,26.0,9.6,81.0,29.0
2009-04-29,Ho Chi Minh City,31.0,26.0,14.6,85.0,28.5
2009-04-30,Ho Chi Minh City,30.0,25.0,19.4,88.0,27.5
2009-05-01,Ho Chi Minh City,31.0,26.0,30.8,89.0,28.5
2009-05-02,Ho Chi Minh City,31.0,25.0,18.8,88.0,28.0
2009-05-03,Ho Chi Minh City,27.0,25.0,28.4,93.0,26.0
2009-05-04,Ho Chi Minh City,32.0,24.0,4.3,85.0,28.0
2009-05-05,Ho Chi Minh City,30.0,24.0,4.6,83.0,27.0
2009-05-06,Ho Chi Minh City,34.0,25.0,5.6,78.0,29.5
2009-05-07,Ho Chi Minh City,31.0,26.0,21.4,87.0,28.5
2009-05-08,Ho Chi Minh City,32.0,25.0,11.6,86.0,28.5
2009-05-09,Ho Chi Minh City,30.0,26.0,26.9,89.0,28.0
2009-05-10,Ho Chi Minh City,30.0,25.0,12.5,90.0,27.5
2009-05-11,Ho Chi Minh City,30.0,25.0,4.9,87.0,27.5
2009-05-12,Ho Chi Minh City,31.0,25.0,7.0,85.0,28.0
2009-05-13,Ho Chi Minh City,32.0,25.0,8.0,83.0,28.5
2009-05-14,Ho Chi Minh City,32.0,25.0,2.5,83.0,28.5
2009-05-15,Ho Chi Minh City,33.0,26.0,6.4,83.0,29.5
2009-05-16,Ho Chi Minh City,32.0,25.0,7.0,86.0,28.5
2009-05-17,Ho Chi Minh City,32.0,25.0,13.2,86.0,28.5
2009-05-18,Ho Chi Minh City,32.0,25.0,3.8,84.0,28.5
2009-05-19,Ho Chi Minh City,32.0,26.0,10.1,86.0,29.0
2009-05-20,Ho Chi Minh City,30.0,26.0,22.0,89.0,28.0
2009-05-21,Ho Chi Minh City,32.0,26.0,15.2,87.0,29.0
2009-05-22,Ho Chi Minh City,31.0,26.0,0.2,82.0,28.5
2009-05-23,Ho Chi Minh City,28.0,24.0,19.2,91.0,26.0
2009-05-24,Ho Chi Minh City,28.0,24.0,2.3,92.0,26.0
2009-05-25,Ho Chi Minh City,27.0,25.0,33.0,95.0,26.0
2009-05-26,Ho Chi Minh City,30.0,25.0,22.9,92.0,27.5
2009-05-27,Ho Chi Minh City,30.0,25.0,17.1,90.0,27.5
2009-05-28,Ho Chi Minh City,31.0,25.0,8.7,88.0,28.0
2009-05-29,Ho Chi Minh City,30.0,26.0,27.6,90.0,28.0
2009-05-30,Ho Chi Minh City,31.0,26.0,13.5,89.0,28.5
2009-05-31,Ho Chi Minh City,33.0,26.0,5.5,85.0,29.5
2009-06-01,Ho Chi Minh City,31.0,25.0,13.6,88.0,28.0
2009-06-02,Ho Chi Minh City,29.0,25.0,19.3,92.0,27.0
2009-06-03,Ho Chi Minh City,28.0,25.0,24.6,93.0,26.5
2009-06-04,Ho Chi Minh City,29.0,24.0,6.6,88.0,26.5
2009-06-05,Ho Chi Minh City,31.0,24.0,10.6,85.0,27.5
2009-06-06,Ho Chi Minh City,31.0,25.0,11.2,87.0,28.0
2009-06-07,Ho Chi Minh City,32.0,24.0,2.3,80.0,28.0
2009-06-08,Ho Chi Minh City,33.0,25.0,0.1,80.0,29.0
2009-06-09,Ho Chi Minh City,30.0,25.0,13.1,86.0,27.5
2009-06-10,Ho Chi Minh City,30.0,25.0,22.1,89.0,27.5
2009-06-11,Ho Chi Minh City,30.0,24.0,15.1,89.0,27.0
2009-06-12,Ho Chi Minh City,34.0,25.0,0.3,79.0,29.5
2009-06-13,Ho Chi Minh City,35.0,25.0,1.8,76.0,30.0
2009-06-14,Ho Chi Minh City,33.0,26.0,11.0,81.0,29.5
2009-06-15,Ho Chi Minh City,30.0,25.0,19.5,90.0,27.5
2009-06-16,Ho Chi Minh City,29.0,25.0,19.3,94.0,27.0
2009-06-17,Ho Chi Minh City,29.0,24.0,11.9,91.0,26.5
2009-06-18,Ho Chi Minh City,30.0,24.0,11.8,91.0,27.0
2009-06-19,Ho Chi Minh City,29.0,25.0,21.1,91.0,27.0
2009-06-20,Ho Chi Minh City,31.0,24.0,17.1,90.0,27.5
2009-06-21,Ho Chi Minh City,30.0,25.0,19.4,90.0,27.5
2009-06-22,Ho Chi Minh City,30.0,25.0,13.9,90.0,27.5
2009-06-23,Ho Chi Minh City,31.0,25.0,7.1,88.0,28.0
2009-06-24,Ho Chi Minh City,32.0,24.0,5.1,88.0,28.0
2009-06-25,Ho Chi Minh City,32.0,25.0,13.6,88.0,28.5
2009-06-26,Ho Chi Minh City,31.0,25.0,15.1,89.0,28.0
2009-06-27,Ho Chi Minh City,31.0,25.0,16.1,89.0,28.0
2009-06-28,Ho Chi Minh City,30.0,25.0,18.9,90.0,27.5
2009-06-29,Ho Chi Minh City,31.0,25.0,7.3,88.0,28.0
2009-06-30,Ho Chi Minh City,32.0,25.0,11.1,87.0,28.5
2009-07-01,Ho Chi Minh City,31.0,25.0,30.7,90.0,28.0
2009-07-02,Ho Chi Minh City,32.0,24.0,9.5,88.0,28.0
2009-07-03,Ho Chi Minh City,30.0,25.0,27.4,91.0,27.5
2009-07-04,Ho Chi Minh City,30.0,25.0,14.8,89.0,27.5
2009-07-05,Ho Chi Minh City,30.0,24.0,19.3,90.0,27.0
2009-07-06,Ho Chi Minh City,32.0,25.0,8.1,86.0,28.5
2009-07-07,Ho Chi Minh City,32.0,26.0,3.8,85.0,29.0
2009-07-08,Ho Chi Minh City,31.0,25.0,12.8,88.0,28.0
2009-07-09,Ho Chi Minh City,33.0,25.0,3.4,84.0,29.0
2009-07-10,Ho Chi Minh City,32.0,25.0,5.2,86.0,28.5
2009-07-11,Ho Chi Minh City,31.0,25.0,17.9,90.0,28.0
2009-07-12,Ho Chi Minh City,30.0,24.0,17.2,92.0,27.0
2009-07-13,Ho Chi Minh City,27.0,24.0,5.7,94.0,25.5
2009-07-14,Ho Chi Minh City,28.0,24.0,1.3,90.0,26.0
2009-07-15,Ho Chi Minh City,25.0,23.0,15.4,96.0,24.0
2009-07-16,Ho Chi Minh City,28.0,24.0,30.2,95.0,26.0
2009-07-17,Ho Chi Minh City,28.0,24.0,5.2,93.0,26.0
2009-07-18,Ho Chi Minh City,28.0,24.0,10.7,92.0,26.0
2009-07-19,Ho Chi Minh City,31.0,24.0,12.8,89.0,27.5
2009-07-20,Ho Chi Minh City,28.0,24.0,5.4,94.0,26.0
2009-07-21,Ho Chi Minh City,30.0,24.0,20.5,92.0,27.0
2009-07-22,Ho Chi Minh City,25.0,24.0,37.4,97.0,24.5
2009-07-23,Ho Chi Minh City,29.0,24.0,27.3,92.0,26.5
2009-07-24,Ho Chi Minh City,29.0,24.0,7.3,91.0,26.5
2009-07-25,Ho Chi Minh City,29.0,24.0,18.5,91.0,26.5
2009-07-26,Ho Chi Minh City,30.0,24.0,20.3,90.0,27.0
2009-07-27,Ho Chi Minh City,29.0,24.0,13.2,92.0,26.5
2009-07-28,Ho Chi Minh City,25.0,24.0,6.1,94.0,24.5
2009-07-29,Ho Chi Minh City,30.0,24.0,1.4,87.0,27.0
2009-07-30,Ho Chi Minh City,28.0,24.0,8.3,90.0,26.0
2009-07-31,Ho Chi Minh City,29.0,24.0,3.5,89.0,26.5
2009-08-01,Ho Chi Minh City,28.0,24.0,8.7,91.0,26.0
2009-08-02,Ho Chi Minh City,25.0,23.0,48.9,96.0,24.0
2009-08-03,Ho Chi Minh City,26.0,23.0,21.3,96.0,24.5
2009-08-04,Ho Chi Minh City,28.0,24.0,20.0,94.0,26.0
2009-08-05,Ho Chi Minh City,31.0,24.0,15.5,90.0,27.5
2009-08-06,Ho Chi Minh City,30.0,24.0,13.7,90.0,27.0
2009-08-07,Ho Chi Minh City,29.0,25.0,2.2,91.0,27.0
2009-08-08,Ho Chi Minh City,31.0,25.0,3.8,87.0,28.0
2009-08-09,Ho Chi Minh City,31.0,24.0,19.4,88.0,27.5
2009-08-10,Ho Chi Minh City,30.0,24.0,16.9,91.0,27.0
2009-08-11,Ho Chi Minh City,30.0,24.0,23.6,92.0,27.0
2009-08-12,Ho Chi Minh City,31.0,24.0,7.9,90.0,27.5
2009-08-13,Ho Chi Minh City,31.0,25.0,16.2,91.0,28.0
2009-08-14,Ho Chi Minh City,33.0,24.0,3.6,85.0,28.5
2009-08-15,Ho Chi Minh City,34.0,25.0,7.9,85.0,29.5
2009-08-16,Ho Chi Minh City,33.0,26.0,7.6,84.0,29.5
2009-08-17,Ho Chi Minh City,33.0,25.0,8.1,83.0,29.0
2009-08-18,Ho Chi Minh City,30.0,25.0,37.1,91.0,27.5
2009-08-19,Ho Chi Minh City,32.0,25.0,8.4,88.0,28.5
2009-08-20,Ho Chi Minh City,28.0,25.0,9.5,94.0,26.5
2009-08-21,Ho Chi Minh City,32.0,24.0,9.8,88.0,28.0
2009-08-22,Ho Chi Minh City,32.0,25.0,11.0,90.0,28.5
2009-08-23,Ho Chi Minh City,30.0,25.0,22.1,92.0,27.5
2009-08-24,Ho Chi Minh City,31.0,25.0,17.1,90.0,28.0
2009-08-25,Ho Chi Minh City,32.0,25.0,21.5,87.0,28.5
2009-08-26,Ho Chi Minh City,32.0,26.0,17.5,87.0,29.0
2009-08-27,Ho Chi Minh City,30.0,25.0,26.5,92.0,27.5
2009-08-28,Ho Chi Minh City,29.0,25.0,28.2,94.0,27.0
2009-08-29,Ho Chi Minh City,30.0,24.0,20.7,92.0,27.0
2009-08-30,Ho Chi Minh City,30.0,25.0,11.5,91.0,27.5
2009-08-31,Ho Chi Minh City,28.0,25.0,8.4,95.0,26.5
2009-09-01,Ho Chi Minh City,29.0,24.0,25.6,94.0,26.5
2009-09-02,Ho Chi Minh City,29.0,24.0,30.4,93.0,26.5
2009-09-03,Ho Chi Minh City,29.0,24.0,24.0,93.0,26.5
2009-09-04,Ho Chi Minh City,27.0,24.0,13.2,94.0,25.5
2009-09-05,Ho Chi Minh City,29.0,23.0,15.9,94.0,26.0
2009-09-06,Ho Chi Minh City,27.0,24.0,19.5,95.0,25.5
2009-09-07,Ho Chi Minh City,26.0,24.0,21.6,95.0,25.0
2009-09-08,Ho Chi Minh City,27.0,23.0,15.2,95.0,25.0
2009-09-09,Ho Chi Minh City,28.0,24.0,12.9,94.0,26.0
2009-09-10,Ho Chi Minh City,28.0,23.0,11.6,94.0,25.5
2009-09-11,Ho Chi Minh City,29.0,24.0,18.6,93.0,26.5
2009-09-12,Ho Chi Minh City,29.0,25.0,12.3,93.0,27.0
2009-09-13,Ho Chi Minh City,30.0,25.0,18.1,93.0,27.5
2009-09-14,Ho Chi Minh City,29.0,25.0,14.2,95.0,27.0
2009-09-15,Ho Chi Minh City,30.0,25.0,27.2,92.0,27.5
2009-09-16,Ho Chi Minh City,29.0,25.0,11.2,93.0,27.0
2009-09-17,Ho Chi Minh City,32.0,25.0,3.6,87.0,28.5
2009-09-18,Ho Chi Minh City,33.0,25.0,13.8,87.0,29.0
2009-09-19,Ho Chi Minh City,27.0,25.0,34.9,94.0,26.0
2009-09-20,Ho Chi Minh City,31.0,24.0,22.6,92.0,27.5
2009-09-21,Ho Chi Minh City,30.0,24.0,7.9,91.0,27.0
2009-09-22,Ho Chi Minh City,30.0,25.0,13.3,90.0,27.5
2009-09-23,Ho Chi Minh City,29.0,25.0,7.0,92.0,27.0
2009-09-24,Ho Chi Minh City,28.0,24.0,23.9,94.0,26.0
2009-09-25,Ho Chi Minh City,28.0,24.0,10.8,94.0,26.0
2009-09-26,Ho Chi Minh City,27.0,24.0,14.0,94.0,25.5
2009-09-27,Ho Chi Minh City,26.0,24.0,7.5,96.0,25.0
2009-09-28,Ho Chi Minh City,27.0,24.0,15.2,92.0,25.5
2009-09-29,Ho Chi Minh City,26.0,24.0,2.4,92.0,25.0
2009-09-30,Ho Chi Minh City,28.0,25.0,11.3,91.0,26.5
2009-10-01,Ho Chi Minh City,29.0,24.0,4.6,92.0,26.5
2009-10-02,Ho Chi Minh City,30.0,24.0,15.2,91.0,27.0
2009-10-03,Ho Chi Minh City,27.0,25.0,43.0,96.0,26.0
2009-10-04,Ho Chi Minh City,30.0,24.0,36.1,93.0,27.0
2009-10-05,Ho Chi Minh City,31.0,24.0,8.8,89.0,27.5
2009-10-06,Ho Chi Minh City,29.0,24.0,9.5,92.0,26.5
2009-10-07,Ho Chi Minh City,28.0,24.0,52.1,95.0,26.0
2009-10-08,Ho Chi Minh City,29.0,24.0,36.8,94.0,26.5
2009-10-09,Ho Chi Minh City,28.0,24.0,35.9,95.0,26.0
2009-10-10,Ho Chi Minh City,27.0,23.0,15.8,95.0,25.0
2009-10-11,Ho Chi Minh City,27.0,23.0,13.5,96.0,25.0
2009-10-12,Ho Chi Minh City,30.0,23.0,6.8,89.0,26.5
2009-10-13,Ho Chi Minh City,31.0,23.0,1.2,86.0,27.0
2009-10-14,Ho Chi Minh City,32.0,24.0,7.3,87.0,28.0
2009-10-15,Ho Chi Minh City,31.0,26.0,12.5,89.0,28.5
2009-10-16,Ho Chi Minh City,29.0,25.0,12.0,93.0,27.0
2009-10-17,Ho Chi Minh City,29.0,25.0,19.9,94.0,27.0
2009-10-18,Ho Chi Minh City,29.0,24.0,25.1,94.0,26.5
2009-10-19,Ho Chi Minh City,28.0,23.0,20.5,95.0,25.5
2009-10-20,Ho Chi Minh City,29.0,24.0,18.1,93.0,26.5
2009-10-21,Ho Chi Minh City,30.0,24.0,15.1,92.0,27.0
2009-10-22,Ho Chi Minh City,30.0,24.0,13.0,91.0,27.0
2009-10-23,Ho Chi Minh City,29.0,24.0,28.0,94.0,26.5
2009-10-24,Ho Chi Minh City,28.0,24.0,11.9,94.0,26.0
2009-10-25,Ho Chi Minh City,29.0,24.0,16.6,94.0,26.5
2009-10-26,Ho Chi Minh City,28.0,24.0,4.6,92.0,26.0
2009-10-27,Ho Chi Minh City,32.0,23.0,3.6,87.0,27.5
2009-10-28,Ho Chi Minh City,32.0,24.0,4.9,82.0,28.0
2009-10-29,Ho Chi Minh City,33.0,24.0,1.4,79.0,28.5
2009-10-30,Ho Chi Minh City,33.0,24.0,5.8,82.0,28.5
2009-10-31,Ho Chi Minh City,33.0,23.0,2.0,83.0,28.0
2009-11-01,Ho Chi Minh City,32.0,24.0,2.2,83.0,28.0
2009-11-02,Ho Chi Minh City,31.0,23.0,18.8,84.0,27.0
2009-11-03,Ho Chi Minh City,29.0,24.0,52.9,94.0,26.5
2009-11-04,Ho Chi Minh City,31.0,23.0,4.3,86.0,27.0
2009-11-05,Ho Chi Minh City,30.0,23.0,10.1,87.0,26.5
2009-11-06,Ho Chi Minh City,30.0,24.0,15.6,91.0,27.0
2009-11-07,Ho Chi Minh City,29.0,24.0,23.8,92.0,26.5
2009-11-08,Ho Chi Minh City,32.0,24.0,7.7,87.0,28.0
2009-11-09,Ho Chi Minh City,34.0,24.0,4.7,84.0,29.0
2009-11-10,Ho Chi Minh City,31.0,24.0,9.0,89.0,27.5
2009-11-11,Ho Chi Minh City,31.0,24.0,9.2,89.0,27.5
2009-11-12,Ho Chi Minh City,31.0,24.0,7.1,88.0,27.5
2009-11-13,Ho Chi Minh City,33.0,25.0,4.1,85.0,29.0
2009-11-14,Ho Chi Minh City,36.0,25.0,1.3,81.0,30.5
2009-11-15,Ho Chi Minh City,33.0,23.0,1.0,83.0,28.0
2009-11-16,Ho Chi Minh City,33.0,24.0,1.1,84.0,28.5
2009-11-17,Ho Chi Minh City,32.0,23.0,4.2,83.0,27.5
2009-11-18,Ho Chi Minh City,32.0,23.0,3.6,79.0,27.5
2009-11-19,Ho Chi Minh City,32.0,23.0,8.6,79.0,27.5
2009-11-20,Ho Chi Minh City,30.0,22.0,6.8,82.0,26.0
2009-11-21,Ho Chi Minh City,30.0,23.0,0.0,74.0,26.5
2009-11-22,Ho Chi Minh City,28.0,22.0,0.0,74.0,25.0
2009-11-23,Ho Chi Minh City,29.0,22.0,0.3,76.0,25.5
2009-11-24,Ho Chi Minh City,28.0,22.0,0.2,80.0,25.0
2009-11-25,Ho Chi Minh City,30.0,23.0,0.5,82.0,26.5
2009-11-26,Ho Chi Minh City,25.0,23.0,18.6,94.0,24.0
2009-11-27,Ho Chi Minh City,30.0,22.0,4.2,89.0,26.0
2009-11-28,Ho Chi Minh City,33.0,23.0,4.1,83.0,28.0
2009-11-29,Ho Chi Minh City,30.0,23.0,0.5,82.0,26.5
2009-11-30,Ho Chi Minh City,27.0,23.0,0.1,86.0,25.0
2009-12-01,Ho Chi Minh City,31.0,22.0,0.8,79.0,26.5
2009-12-02,Ho Chi Minh City,32.0,24.0,3.7,80.0,28.0
2009-12-03,Ho Chi Minh City,32.0,24.0,2.6,77.0,28.0
2009-12-04,Ho Chi Minh City,32.0,22.0,0.3,75.0,27.0
2009-12-05,Ho Chi Minh City,35.0,23.0,0.0,75.0,29.0
2009-12-06,Ho Chi Minh City,33.0,22.0,0.0,77.0,27.5
2009-12-07,Ho Chi Minh City,33.0,22.0,0.0,75.0,27.5
2009-12-08,Ho Chi Minh City,33.0,22.0,0.0,72.0,27.5
2009-12-09,Ho Chi Minh City,34.0,23.0,0.0,70.0,28.5
2009-12-10,Ho Chi Minh City,35.0,23.0,0.0,70.0,29.0
2009-12-11,Ho Chi Minh City,32.0,22.0,0.0,71.0,27.0
2009-12-12,Ho Chi Minh City,32.0,23.0,0.0,71.0,27.5
2009-12-13,Ho Chi Minh City,33.0,23.0,0.0,71.0,28.0
2009-12-14,Ho Chi Minh City,33.0,25.0,0.5,66.0,29.0
2009-12-15,Ho Chi Minh City,30.0,24.0,9.2,81.0,27.0
2009-12-16,Ho Chi Minh City,30.0,24.0,2.4,83.0,27.0
2009-12-17,Ho Chi Minh City,31.0,24.0,1.9,79.0,27.5
2009-12-18,Ho Chi Minh City,33.0,22.0,0.1,74.0,27.5
2009-12-19,Ho Chi Minh City,32.0,23.0,1.0,73.0,27.5
2009-12-20,Ho Chi Minh City,32.0,23.0,0.3,69.0,27.5
2009-12-21,Ho Chi Minh City,32.0,22.0,0.0,67.0,27.0
2009-12-22,Ho Chi Minh City,32.0,22.0,0.0,66.0,27.0
2009-12-23,Ho Chi Minh City,33.0,22.0,0.0,70.0,27.5
2009-12-24,Ho Chi Minh City,34.0,23.0,0.3,71.0,28.5
2009-12-25,Ho Chi Minh City,32.0,25.0,2.0,73.0,28.5
2009-12-26,Ho Chi Minh City,33.0,24.0,3.2,74.0,28.5
2009-12-27,Ho Chi Minh City,34.0,24.0,0.4,72.0,29.0
2009-12-28,Ho Chi Minh City,34.0,24.0,0.9,67.0,29.0
2009-12-29,Ho Chi Minh City,34.0,24.0,0.0,63.0,29.0
2009-12-30,Ho Chi Minh City,35.0,23.0,0.0,64.0,29.0
2009-12-31,Ho Chi Minh City,34.0,23.0,0.0,63.0,28.5
2010-01-01,Ho Chi Minh City,34.0,24.0,0.0,59.0,29.0
2010-01-02,Ho Chi Minh City,32.0,24.0,0.0,61.0,28.0
